gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	4.0054	4.0028	4.0042
1	4.0055	4.0032	4.0047
2	4.0074	4.0038	4.0054
3	4.0096	4.0043	4.0062
4	4.0096	4.0020	4.0070
5	4.0117	4.0021	4.0088
6	4.0128	3.9868	4.0102
7	4.0132	3.9879	4.0110
8	4.0190	3.9537	4.0121
9	4.0190	3.9537	4.0129
10	4.0190	3.8946	4.0139
11	4.0192	3.8920	4.0151
12	4.0192	3.9009	4.0158
13	4.0316	3.8928	4.0171
14	4.0338	3.9110	4.0187
15	4.0395	3.8962	4.0219
16	4.0416	3.9144	4.0256
17	4.0472	3.8991	4.0280
18	4.0483	3.9166	4.0313
19	4.0483	3.8806	4.0334
20	4.0483	3.9244	4.0354
21	4.0483	3.9283	4.0362
22	4.0483	3.9172	4.0367
23	4.0586	3.9345	4.0381
24	4.0586	3.9226	4.0395
25	4.0586	3.9436	4.0398
26	4.0586	3.9464	4.0402
27	4.0586	3.9558	4.0404
28	4.0586	3.9523	4.0411
29	4.0586	3.9440	4.0415
30	4.0586	3.9351	4.0424
31	4.0586	3.9147	4.0435
32	4.0586	3.9131	4.0448
33	4.0586	3.9211	4.0453
34	4.0598	3.9272	4.0468
35	4.0598	3.9339	4.0473
36	4.0598	3.9097	4.0484
37	4.0598	3.8986	4.0487
38	4.0602	3.9186	4.0493
39	4.0602	3.8931	4.0498
40	4.0602	3.9066	4.0505
41	4.0602	3.9130	4.0510
42	4.0602	3.9242	4.0519
43	4.0663	3.9083	4.0530
44	4.0663	3.9406	4.0536
45	4.0663	3.8984	4.0546
46	4.0663	3.9375	4.0554
47	4.0663	3.9295	4.0561
48	4.0663	3.9565	4.0576
49	4.0663	3.9683	4.0584
50	4.0677	3.9550	4.0594
51	4.0677	3.9556	4.0604
52	4.0677	3.9795	4.0615
53	4.0677	3.9704	4.0624
54	4.0682	3.9818	4.0627
55	4.0729	3.9971	4.0639
56	4.0729	4.0012	4.0651
