gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0066	2.0029	2.0041
1	2.0066	2.0034	2.0046
2	2.0070	2.0036	2.0052
3	2.0108	2.0046	2.0060
4	2.0185	2.0038	2.0075
5	2.0185	1.9990	2.0091
6	2.0185	1.9819	2.0109
7	2.0191	1.9440	2.0124
8	2.0223	1.9363	2.0140
9	2.0263	1.9255	2.0156
10	2.0263	1.8816	2.0169
11	2.0345	1.8713	2.0184
12	2.0345	1.8459	2.0201
13	2.0345	1.8318	2.0211
14	2.0345	1.8663	2.0220
15	2.0401	1.8485	2.0231
16	2.0401	1.8503	2.0242
17	2.0467	1.8431	2.0257
18	2.0538	1.7938	2.0270
19	2.0538	1.8775	2.0279
20	2.0538	1.8550	2.0295
21	2.0538	1.8734	2.0307
22	2.0692	1.8945	2.0325
23	2.0692	1.9224	2.0348
24	2.0692	1.8834	2.0364
25	2.0692	1.8575	2.0383
26	2.0692	1.8795	2.0402
27	2.0780	1.8710	2.0420
28	2.0780	1.8601	2.0429
29	2.0780	1.8978	2.0438
30	2.0780	1.9052	2.0452
31	2.0780	1.9413	2.0469
32	2.0785	1.9242	2.0482
33	2.0785	1.8878	2.0507
34	2.0785	1.9255	2.0525
35	2.0785	1.9148	2.0544
36	2.0785	1.8963	2.0564
37	2.0785	1.9036	2.0588
38	2.0785	1.9104	2.0606
39	2.0826	1.9015	2.0629
40	2.0826	1.8943	2.0646
41	2.0826	1.9036	2.0658
42	2.0844	1.9190	2.0672
43	2.0844	1.8946	2.0687
44	2.0844	1.8728	2.0700
45	2.0967	1.8980	2.0718
46	2.0967	1.8780	2.0737
47	2.0967	1.8777	2.0759
48	2.0967	1.9186	2.0784
49	2.0967	1.9168	2.0798
50	2.0979	1.9218	2.0806
51	2.0979	1.9407	2.0814
52	2.0979	1.9560	2.0830
53	2.1118	1.9575	2.0842
54	2.1118	1.9486	2.0863
55	2.1118	1.9593	2.0880
56	2.1118	1.9639	2.0886
57	2.1118	1.9612	2.0890
58	2.1118	1.9743	2.0897
59	2.1118	1.9560	2.0905
60	2.1118	1.9452	2.0906
61	2.1118	1.9501	2.0913
62	2.1118	1.9603	2.0919
63	2.1118	1.9579	2.0925
64	2.1118	1.9787	2.0931
65	2.1118	1.9343	2.0935
66	2.1118	1.9582	2.0940
67	2.1118	1.9646	2.0943
68	2.1118	1.9625	2.0949
69	2.1118	2.0108	2.0512
70	2.1118	1.9948	2.0577
71	2.1118	1.9735	2.0671
72	2.1118	1.9505	2.0796
73	2.1118	1.9463	2.0907
74	2.1118	1.9538	2.0933
75	2.1118	1.9538	2.0947
76	2.1118	1.9538	2.0956
77	2.1118	1.9558	2.0958
78	2.1118	1.9607	2.0961
79	2.1118	1.9824	2.0966
80	2.1118	1.9812	2.0969
81	2.1118	1.9673	2.0970
82	2.1118	1.9655	2.0973
83	2.1118	1.9764	2.0973
84	2.1308	2.0086	2.0515
85	2.1308	2.0024	2.0638
86	2.1308	1.9536	2.0732
87	2.1308	1.9453	2.0905
88	2.1308	1.9629	2.0953
89	2.1308	1.9768	2.0971
90	2.1308	1.9834	2.0986
91	2.1308	1.9943	2.0990
92	2.1308	1.9908	2.0995
93	2.1308	1.9531	2.0995
94	2.1308	1.9731	2.0997
95	2.1308	1.9556	2.0998
96	2.1308	1.9706	2.1000
97	2.1308	1.9610	2.1002
98	2.1308	1.9637	2.1004
99	2.1308	1.9433	2.1006
100	2.1308	2.0128	2.0539
101	2.1308	2.0031	2.0627
102	2.1308	1.9804	2.0730
103	2.1308	1.9531	2.0874
104	2.1308	1.9557	2.0976
105	2.1308	1.9471	2.0999
106	2.1308	1.9364	2.1007
107	2.1308	1.9351	2.1012
108	2.1308	1.9566	2.1016
109	2.1308	1.9586	2.1022
110	2.1308	1.9660	2.1026
111	2.1308	1.9497	2.1027
112	2.1308	1.9454	2.1031
113	2.1308	1.9311	2.1034
114	2.1308	1.9418	2.1036
115	2.1308	2.0129	2.0545
116	2.1308	1.9925	2.0663
117	2.1308	1.9523	2.0760
118	2.1308	1.9509	2.0890
119	2.1308	1.9266	2.0970
120	2.1308	1.9377	2.1011
121	2.1308	1.9323	2.1029
122	2.1308	1.9103	2.1035
123	2.1308	1.9332	2.1043
124	2.1308	1.9076	2.1049
125	2.1308	2.0010	2.0048
126	2.1308	2.0000	2.0057
127	2.1308	1.9968	2.0071
128	2.1308	1.9535	2.0089
129	2.1308	1.8927	2.0102
130	2.1308	1.8482	2.0115
131	2.1308	1.8154	2.0145
132	2.1308	1.7796	2.0167
133	2.1308	1.8068	2.0241
134	2.1308	1.7565	2.0257
135	2.1308	1.8750	2.0292
