gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0059	2.0028	2.0038
1	2.0071	2.0017	2.0043
2	2.0084	2.0037	2.0047
3	2.0084	2.0042	2.0054
4	2.0150	2.0048	2.0062
5	2.0150	1.9992	2.0073
6	2.0193	1.9947	2.0087
7	2.0221	1.9764	2.0104
8	2.0253	1.9464	2.0122
9	2.0253	1.9154	2.0143
10	2.0253	1.8752	2.0162
11	2.0271	1.8743	2.0177
12	2.0319	1.8747	2.0189
13	2.0344	1.8720	2.0208
14	2.0400	1.8966	2.0221
15	2.0400	1.8894	2.0231
16	2.0400	1.8849	2.0242
17	2.0400	1.8733	2.0252
18	2.0400	1.8825	2.0259
19	2.0400	1.8762	2.0269
20	2.0400	1.8784	2.0272
21	2.0419	1.8604	2.0284
22	2.0419	1.8643	2.0294
23	2.0478	1.8952	2.0303
24	2.0478	1.8692	2.0308
25	2.0478	1.8544	2.0313
26	2.0478	1.8646	2.0318
27	2.0478	1.8643	2.0322
28	2.0478	1.9090	2.0328
29	2.0478	1.8879	2.0333
30	2.0520	1.9037	2.0341
31	2.0520	1.8864	2.0346
32	2.0520	1.8741	2.0351
33	2.0520	1.8572	2.0359
34	2.0520	1.8750	2.0364
35	2.0520	1.8780	2.0373
36	2.0535	1.8894	2.0380
37	2.0535	1.8823	2.0388
38	2.0535	1.8603	2.0391
39	2.0535	1.8693	2.0400
40	2.0557	1.8621	2.0407
41	2.0557	1.8586	2.0410
42	2.0587	1.8854	2.0419
43	2.0587	1.8822	2.0428
44	2.0587	1.8511	2.0435
45	2.0587	1.8673	2.0441
46	2.0587	1.8791	2.0450
47	2.0587	1.8700	2.0459
48	2.0587	1.8792	2.0464
49	2.0606	1.8674	2.0470
50	2.0606	1.8920	2.0480
51	2.0614	1.8797	2.0488
52	2.0614	1.8667	2.0497
53	2.0614	1.8922	2.0505
54	2.0670	1.9000	2.0512
55	2.0670	1.9081	2.0524
56	2.0670	1.9298	2.0532
57	2.0670	1.9341	2.0538
58	2.0779	1.9261	2.0546
59	2.0779	1.9006	2.0552
60	2.0779	1.9199	2.0563
61	2.0779	1.9159	2.0568
62	2.0779	1.9332	2.0575
63	2.0779	1.9450	2.0580
64	2.0779	1.9468	2.0586
65	2.0779	1.9453	2.0594
66	2.0779	1.9459	2.0601
67	2.0779	1.9330	2.0609
68	2.0779	1.9619	2.0617
69	2.0779	1.9501	2.0621
70	2.0794	1.9646	2.0631
71	2.0794	1.9737	2.0636
72	2.0794	1.9705	2.0644
73	2.0794	1.9831	2.0654
74	2.0841	1.9704	2.0664
75	2.0841	1.9786	2.0671
76	2.0841	1.9818	2.0682
77	2.0841	1.9898	2.0691
78	2.0841	1.9885	2.0702
79	2.0841	1.9869	2.0708
80	2.0841	1.9749	2.0715
81	2.0851	1.9932	2.0719
82	2.0851	1.9963	2.0727
83	2.0851	1.9940	2.0731
84	2.0851	1.9843	2.0736
85	2.0858	1.9920	2.0740
86	2.0858	1.9835	2.0747
87	2.0858	2.0038	2.0754
88	2.0881	1.9987	2.0762
89	2.0881	2.0073	2.0770
90	2.0905	1.9889	2.0778
91	2.0905	2.0111	2.0783
92	2.0905	2.0073	2.0790
93	2.0905	2.0084	2.0798
94	2.0905	2.0073	2.0805
95	2.0905	2.0054	2.0812
96	2.0905	2.0074	2.0818
97	2.0905	2.0171	2.0822
98	2.0905	1.9940	2.0826
99	2.0905	1.9991	2.0831
100	2.0905	1.9886	2.0833
101	2.0941	2.0053	2.0837
102	2.0941	2.0091	2.0840
103	2.0941	2.0109	2.0844
104	2.0941	2.0109	2.0847
105	2.0941	2.0146	2.0850
106	2.0941	2.0113	2.0854
107	2.0952	2.0174	2.0859
108	2.0980	2.0120	2.0863
109	2.0980	2.0060	2.0868
110	2.0980	2.0118	2.0871
111	2.0980	2.0158	2.0873
112	2.0980	2.0031	2.0876
113	2.0980	2.0131	2.0878
114	2.0980	2.0151	2.0880
115	2.0980	2.0187	2.0882
116	2.0980	2.0175	2.0884
117	2.0980	2.0156	2.0884
118	2.0980	2.0066	2.0885
119	2.0980	2.0066	2.0886
120	2.0980	2.0098	2.0886
121	2.0980	2.0051	2.0887
122	2.0980	2.0083	2.0889
123	2.0980	2.0197	2.0889
124	2.0980	2.0107	2.0474
125	2.0980	1.9978	2.0542
126	2.0980	1.9768	2.0631
127	2.0980	1.9616	2.0724
128	2.0980	1.9908	2.0844
129	2.0980	1.9911	2.0886
130	2.0980	1.9976	2.0889
131	2.0980	2.0073	2.0891
132	2.0980	2.0107	2.0892
133	2.0980	2.0215	2.0893
134	2.0980	2.0130	2.0894
135	2.0980	2.0114	2.0895
136	2.0980	2.0036	2.0896
137	2.0980	2.0167	2.0897
138	2.0980	2.0106	2.0898
139	2.0980	2.0114	2.0472
140	2.0980	2.0030	2.0560
141	2.0980	1.9936	2.0657
142	2.0980	1.9668	2.0765
143	2.0980	1.9724	2.0847
144	2.0980	1.9843	2.0886
145	2.0980	1.9998	2.0891
146	2.0980	2.0187	2.0893
147	2.0980	2.0052	2.0895
148	2.0980	2.0126	2.0896
149	2.0980	2.0021	2.0040
150	2.0980	2.0014	2.0047
151	2.0980	1.9973	2.0057
152	2.0980	1.9711	2.0069
153	2.0980	1.9186	2.0084
154	2.0980	1.8453	2.0097
155	2.0980	1.7761	2.0108
156	2.0980	1.7565	2.0115
157	2.0980	1.7467	2.0127
158	2.0980	1.7321	2.0135
159	2.0980	1.7405	2.0145
