gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0064	2.0028	2.0043
1	2.0104	2.0032	2.0048
2	2.0104	2.0037	2.0053
3	2.0104	2.0042	2.0062
4	2.0137	1.9961	2.0076
5	2.0174	2.0002	2.0093
6	2.0174	1.9628	2.0107
7	2.0243	1.9198	2.0124
8	2.0243	1.8889	2.0140
9	2.0243	1.8425	2.0157
10	2.0312	1.8321	2.0172
11	2.0312	1.8222	2.0186
12	2.0375	1.8145	2.0204
13	2.0410	1.8600	2.0226
14	2.0410	1.8281	2.0241
15	2.0458	1.8292	2.0268
16	2.0458	1.8096	2.0289
17	2.0458	1.8521	2.0302
18	2.0459	1.8249	2.0316
19	2.0459	1.8219	2.0331
20	2.0459	1.8314	2.0345
21	2.0568	1.8080	2.0357
22	2.0582	1.8133	2.0372
23	2.0582	1.8309	2.0382
24	2.0582	1.8287	2.0396
25	2.0582	1.8283	2.0404
26	2.0582	1.8115	2.0410
27	2.0582	1.8306	2.0420
28	2.0582	1.8153	2.0423
29	2.0589	1.8124	2.0435
30	2.0589	1.8315	2.0442
31	2.0589	1.8150	2.0446
32	2.0589	1.8237	2.0450
33	2.0589	1.8094	2.0457
34	2.0589	1.8195	2.0464
35	2.0589	1.8127	2.0467
36	2.0589	1.8203	2.0473
37	2.0672	1.8012	2.0480
38	2.0672	1.8165	2.0484
39	2.0672	1.8593	2.0491
40	2.0672	1.8266	2.0494
41	2.0672	1.8022	2.0499
42	2.0672	1.8063	2.0507
43	2.0672	1.8348	2.0514
44	2.0672	1.8230	2.0520
45	2.0672	1.8602	2.0527
46	2.0672	1.8591	2.0535
47	2.0672	1.8611	2.0541
48	2.0672	1.8737	2.0548
49	2.0672	1.8636	2.0550
50	2.0672	1.8867	2.0555
51	2.0672	1.8829	2.0561
52	2.0672	1.8626	2.0568
53	2.0672	2.0081	2.0568
54	2.0672	1.9969	2.0570
55	2.0672	1.9656	2.0572
56	2.0672	1.9347	2.0579
57	2.0675	1.8875	2.0584
58	2.0675	1.8581	2.0590
59	2.0675	1.8760	2.0593
60	2.0675	1.8758	2.0597
61	2.0675	1.8925	2.0600
62	2.0721	1.8752	2.0606
63	2.0721	1.9106	2.0610
64	2.0721	1.8987	2.0616
65	2.0721	1.8974	2.0620
66	2.0730	1.8960	2.0625
67	2.0730	1.8734	2.0627
68	2.0730	1.8832	2.0630
69	2.0744	1.8935	2.0632
70	2.0753	1.8763	2.0638
71	2.0753	1.8806	2.0640
72	2.0753	1.8745	2.0640
73	2.0753	1.8851	2.0643
74	2.0753	1.8781	2.0645
75	2.0753	1.8879	2.0647
76	2.0753	1.8884	2.0649
77	2.0753	1.9090	2.0650
78	2.0753	1.8969	2.0651
79	2.0753	1.9070	2.0653
80	2.0753	1.9100	2.0656
81	2.0775	1.8978	2.0660
82	2.0775	1.9190	2.0663
83	2.0775	1.9015	2.0665
84	2.0775	1.8733	2.0668
85	2.0775	1.8809	2.0672
86	2.0775	1.8607	2.0674
87	2.0775	1.8868	2.0676
88	2.0775	1.9027	2.0677
89	2.0849	1.8945	2.0684
90	2.0849	1.8959	2.0689
91	2.0849	1.8901	2.0692
92	2.0849	1.8888	2.0697
93	2.0849	1.8914	2.0705
94	2.0881	1.8856	2.0710
95	2.0881	1.9124	2.0716
96	2.0881	1.8793	2.0723
97	2.0881	1.8562	2.0729
98	2.0881	1.8658	2.0741
99	2.0881	1.9020	2.0752
100	2.0881	1.8990	2.0759
101	2.0881	1.9064	2.0766
102	2.0881	1.9202	2.0775
103	2.0936	1.9452	2.0785
104	2.0936	1.9390	2.0791
105	2.0936	1.9732	2.0797
106	2.0936	1.9777	2.0800
107	2.0936	1.9800	2.0809
108	2.0936	1.9905	2.0820
109	2.0936	2.0035	2.0825
110	2.0936	1.9969	2.0828
111	2.0936	1.9957	2.0835
112	2.0936	1.9940	2.0839
113	2.0936	2.0033	2.0843
114	2.0936	2.0099	2.0850
115	2.0963	2.0173	2.0857
116	2.0963	2.0057	2.0864
117	2.0963	2.0174	2.0872
118	2.0963	2.0027	2.0876
119	2.0963	2.0089	2.0879
120	2.0963	2.0119	2.0884
121	2.0963	2.0167	2.0890
122	2.0963	1.9969	2.0895
123	2.0972	1.9967	2.0899
124	2.0972	2.0009	2.0902
125	2.0972	1.9972	2.0905
126	2.0972	2.0149	2.0905
127	2.0972	2.0014	2.0907
128	2.0972	2.0013	2.0910
129	2.0972	2.0155	2.0911
130	2.0972	2.0160	2.0912
131	2.0972	2.0212	2.0913
132	2.0972	2.0191	2.0914
133	2.0972	2.0165	2.0914
134	2.0972	2.0001	2.0914
135	2.0972	1.9965	2.0916
136	2.0972	2.0102	2.0917
137	2.0972	2.0081	2.0917
138	2.0972	2.0048	2.0918
139	2.0972	2.0116	2.0918
140	2.0972	1.9966	2.0918
141	2.0972	1.9894	2.0918
142	2.0975	1.9858	2.0920
143	2.0975	1.9709	2.0920
144	2.0975	1.9775	2.0921
145	2.0975	2.0023	2.0922
146	2.0975	1.9928	2.0923
147	2.0975	2.0009	2.0925
148	2.0975	2.0080	2.0925
149	2.0987	2.0055	2.0928
150	2.0987	2.0049	2.0929
151	2.0987	2.0198	2.0930
152	2.0987	2.0027	2.0930
153	2.0987	2.0029	2.0931
154	2.0987	2.0033	2.0932
155	2.0987	2.0095	2.0932
156	2.0987	1.9987	2.0933
157	2.1010	2.0037	2.0935
158	2.1010	2.0123	2.0936
159	2.1010	2.0110	2.0938
160	2.1010	2.0150	2.0939
161	2.1010	2.0146	2.0940
162	2.1010	2.0037	2.0943
163	2.1010	2.0155	2.0945
164	2.1010	2.0216	2.0946
165	2.1010	2.0069	2.0947
166	2.1027	2.0156	2.0949
167	2.1027	2.0142	2.0951
168	2.1027	2.0120	2.0951
169	2.1042	2.0213	2.0954
170	2.1042	2.0264	2.0955
171	2.1042	2.0056	2.0957
172	2.1042	2.0088	2.0960
173	2.1042	2.0110	2.0962
174	2.1042	2.0073	2.0965
175	2.1042	2.0136	2.0967
176	2.1042	2.0086	2.0969
177	2.1042	2.0163	2.0970
178	2.1042	2.0063	2.0970
179	2.1042	2.0096	2.0972
180	2.1042	1.9880	2.0972
181	2.1042	2.0086	2.0972
182	2.1042	2.0147	2.0972
183	2.1042	2.0163	2.0974
184	2.1042	2.0144	2.0974
185	2.1042	2.0109	2.0974
186	2.1042	1.9985	2.0975
187	2.1042	1.9783	2.0975
188	2.1042	1.9804	2.0975
189	2.1042	1.9716	2.0975
190	2.1042	1.9972	2.0976
191	2.1042	1.9885	2.0976
192	2.1042	1.9959	2.0977
193	2.1042	1.9980	2.0978
194	2.1042	2.0030	2.0978
195	2.1042	2.0035	2.0979
196	2.1042	1.9998	2.0979
197	2.1042	2.0046	2.0979
