nome,mutacao,elite,generation,population_size,step,FO_1,Tempo_1,Desv_1,dias_neg,Gen
parametros1_Teste1_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,11.177777777777777,30.453250885009766,8.657145767486313,0.0,120.0
parametros1_Teste2_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,10.78888888888889,44.80673098564148,8.039478209221244,0.0,162.0
parametros1_Teste3_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,11.233333333333333,28.56010866165161,8.444656430087742,0.0,112.0
parametros1_Teste4_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,8.966666666666667,38.60805344581604,6.208327740489651,0.0,147.0
parametros1_Teste5_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,9.677777777777777,38.73364758491516,7.441367523330906,0.0,150.0
parametros1_Teste6_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,5.855555555555555,51.35040211677551,4.743559636464093,0.0,200.0
parametros1_Teste7_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,12.28888888888889,32.34567403793335,9.281097210572614,0.0,120.0
parametros1_Teste8_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,11.066666666666666,44.80499243736267,7.711175151831413,0.0,173.0
parametros1_Teste9_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,10.7,53.15176033973694,9.014124718709214,0.0,200.0
parametros1_Teste10_M10_E10_G200_P500_S10.txt,10,0.1,200,500,0.1,8.844444444444445,53.28381323814392,6.250175306183395,0.0,199.0
parametros2_Teste1_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,7.655555555555556,109.22278189659119,5.348231506480771,0.0,200.0
parametros2_Teste2_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,7.9222222222222225,87.65938711166382,5.839002536160089,0.0,171.0
parametros2_Teste3_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,7.866666666666666,66.46024942398071,6.864077181643251,0.0,128.0
parametros2_Teste4_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,12.522222222222222,94.8995909690857,11.22816674239663,0.0,182.0
parametros2_Teste5_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,11.744444444444444,104.2910988330841,9.7303204367826,0.0,200.0
parametros2_Teste6_M10_E10_G200_P1000_S10.txt,10,0.1,200,1000,0.1,10.6,86.09267902374268,5.687803715944417,0.0,166.0
