gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0069	2.0028	2.0039
1	2.0078	2.0033	2.0043
2	2.0098	2.0038	2.0049
3	2.0098	2.0037	2.0055
4	2.0123	2.0009	2.0065
5	2.0146	1.9995	2.0077
6	2.0146	1.9858	2.0087
7	2.0196	1.9748	2.0100
8	2.0196	1.9354	2.0114
9	2.0219	1.9174	2.0131
10	2.0267	1.8569	2.0147
11	2.0309	1.8748	2.0161
12	2.0309	1.8652	2.0177
13	2.0326	1.8651	2.0191
14	2.0380	1.8555	2.0205
15	2.0380	1.8439	2.0220
16	2.0380	1.8770	2.0230
17	2.0380	1.8450	2.0240
18	2.0398	1.8388	2.0253
19	2.0516	1.8565	2.0268
20	2.0516	1.8646	2.0282
21	2.0516	1.8823	2.0291
22	2.0516	1.8845	2.0304
23	2.0516	1.8940	2.0315
24	2.0516	1.8718	2.0325
25	2.0516	1.8318	2.0335
26	2.0516	1.8319	2.0342
27	2.0516	1.8703	2.0351
28	2.0516	1.8534	2.0359
29	2.0526	1.8540	2.0366
30	2.0572	1.8502	2.0375
31	2.0572	1.8788	2.0385
32	2.0614	1.9189	2.0399
33	2.0634	1.8778	2.0409
34	2.0634	1.8800	2.0420
35	2.0634	1.8868	2.0429
36	2.0634	1.8870	2.0438
37	2.0634	1.8881	2.0445
38	2.0634	1.8881	2.0455
39	2.0634	1.8885	2.0462
40	2.0634	1.9273	2.0475
41	2.0634	1.9121	2.0487
42	2.0866	1.9063	2.0503
43	2.0866	1.9188	2.0519
44	2.0866	1.9188	2.0532
45	2.0866	1.9279	2.0542
46	2.0866	1.9323	2.0556
47	2.0866	1.9425	2.0572
48	2.0866	1.9309	2.0591
49	2.0909	1.9521	2.0609
50	2.0909	1.9717	2.0629
51	2.0909	1.9561	2.0647
52	2.0909	1.9829	2.0663
53	2.0909	1.9747	2.0676
54	2.0909	1.9690	2.0690
55	2.0951	1.9652	2.0701
56	2.0951	1.9670	2.0713
57	2.0951	1.9865	2.0721
58	2.0951	1.9856	2.0731
59	2.0951	1.9959	2.0744
60	2.0951	1.9762	2.0753
61	2.0951	1.9865	2.0758
62	2.0951	1.9800	2.0764
63	2.1009	1.9844	2.0771
64	2.1009	1.9902	2.0777
65	2.1009	1.9935	2.0784
66	2.1032	1.9745	2.0792
67	2.1032	1.9859	2.0800
68	2.1032	1.9921	2.0812
69	2.1032	1.9775	2.0823
70	2.1032	1.9875	2.0831
71	2.1032	1.9937	2.0841
72	2.1032	1.9908	2.0851
73	2.1032	1.9938	2.0862
74	2.1032	1.9827	2.0869
75	2.1032	1.9919	2.0880
76	2.1032	1.9937	2.0888
77	2.1032	1.9896	2.0894
78	2.1069	1.9915	2.0904
79	2.1069	1.9918	2.0910
80	2.1069	2.0079	2.0920
81	2.1069	2.0077	2.0925
82	2.1069	2.0005	2.0930
83	2.1069	2.0062	2.0935
84	2.1069	2.0040	2.0939
85	2.1069	1.9964	2.0942
86	2.1069	2.0109	2.0947
87	2.1069	2.0168	2.0950
88	2.1069	2.0059	2.0951
89	2.1069	2.0133	2.0952
90	2.1069	2.0112	2.0955
91	2.1069	2.0061	2.0957
92	2.1069	2.0112	2.0958
93	2.1069	2.0208	2.0960
94	2.1069	2.0118	2.0512
95	2.1069	2.0025	2.0621
96	2.1069	1.9790	2.0734
97	2.1069	1.9724	2.0894
98	2.1069	1.9825	2.0950
99	2.1069	2.0079	2.0957
100	2.1069	2.0047	2.0961
101	2.1069	2.0041	2.0964
102	2.1069	2.0047	2.0966
103	2.1069	2.0113	2.0967
104	2.1069	2.0104	2.0968
105	2.1069	2.0154	2.0970
106	2.1069	2.0100	2.0971
107	2.1069	2.0192	2.0972
108	2.1069	2.0107	2.0973
109	2.1069	2.0114	2.0517
110	2.1069	2.0023	2.0600
111	2.1069	1.9942	2.0708
112	2.1069	1.9764	2.0831
113	2.1069	1.9905	2.0945
114	2.1069	1.9875	2.0961
115	2.1069	2.0116	2.0967
116	2.1069	1.9945	2.0971
117	2.1069	2.0085	2.0973
118	2.1069	2.0034	2.0974
119	2.1069	2.0027	2.0040
120	2.1069	2.0030	2.0047
121	2.1069	1.9966	2.0060
122	2.1069	1.9733	2.0075
123	2.1069	1.8846	2.0088
124	2.1069	1.8053	2.0097
125	2.1069	1.7719	2.0108
126	2.1069	1.7481	2.0115
127	2.1069	1.7484	2.0124
128	2.1069	1.7660	2.0133
129	2.1069	1.7506	2.0143
