Teste,nome,mutacao,elite,generation,population_size,step,FO_1,Tempo_1,Desv_1,dias_neg,Gen
revistaB_3_numero_1_4_5.txt,saida_revistaB_3_numero_1_4_5.txt,20,0.1,2000,1000,0.1,35.522222222222226,49.82530426979065,24.087446143757024,0.0,121.0
revistaB_3_numero_2_3_4.txt,saida_revistaB_3_numero_2_3_4.txt,20,0.1,2000,1000,0.1,66.65555555555555,23.588213443756104,46.63407459766138,0.0,75.0
revistaB_3_numero_2_3_5.txt,saida_revistaB_3_numero_2_3_5.txt,20,0.1,2000,1000,0.1,49.84444444444444,30.956035137176514,30.363322578807008,0.0,89.0
revistaB_3_numero_2_4_5.txt,saida_revistaB_3_numero_2_4_5.txt,20,0.1,2000,1000,0.1,40.644444444444446,31.11635708808899,25.071591320816168,0.0,88.0
revistaB_3_numero_3_4_5.txt,saida_revistaB_3_numero_3_4_5.txt,20,0.1,2000,1000,0.1,22.166666666666668,43.73448419570923,14.542848567060183,0.0,126.0
revistaB_4_numero_1_2_3_4.txt,saida_revistaB_4_numero_1_2_3_4.txt,20,0.1,2000,1000,0.1,31.666666666666668,50.73562026023865,21.51485275080657,0.0,108.0
revistaB_4_numero_1_2_3_5.txt,saida_revistaB_4_numero_1_2_3_5.txt,20,0.1,2000,1000,0.1,13.866666666666667,49.63395619392395,9.898596982513341,0.0,97.0
revistaB_4_numero_1_2_4_5.txt,saida_revistaB_4_numero_1_2_4_5.txt,20,0.1,2000,1000,0.1,10.366666666666667,88.88952994346619,5.1325757016661075,0.0,164.0
revistaB_4_numero_1_3_4_5.txt,saida_revistaB_4_numero_1_3_4_5.txt,20,0.1,2000,1000,0.1,10.5,119.51428842544556,8.127115109311545,0.0,200.0
revistaB_4_numero_2_3_4_5.txt,saida_revistaB_4_numero_2_3_4_5.txt,20,0.1,2000,1000,0.1,10.944444444444445,61.117024660110474,7.958728417573461,0.0,116.0
revistaB_constante_10.txt,saida_revistaB_constante_10.txt,20,0.1,2000,1000,0.1,87.96666666666667,50.067333936691284,60.7818412210606,0.0,106.0
revistaB_constante_11.txt,saida_revistaB_constante_11.txt,20,0.1,2000,1000,0.1,133.54444444444445,52.80213928222656,89.89341356556183,0.0,121.0
revistaB_constante_5.txt,saida_revistaB_constante_5.txt,20,0.1,2000,1000,0.1,9.8,112.94774436950684,7.585366027936805,0.0,143.0
revistaB_constante_6.txt,saida_revistaB_constante_6.txt,20,0.1,2000,1000,0.1,8.766666666666667,141.39828991889954,6.16270142785523,0.0,191.0
revistaB_constante_7.txt,saida_revistaB_constante_7.txt,20,0.1,2000,1000,0.1,12.055555555555555,73.83117485046387,10.05359096830703,0.0,111.0
revistaB_constante_8.txt,saida_revistaB_constante_8.txt,20,0.1,2000,1000,0.1,20.288888888888888,66.92368674278259,13.189427116229158,0.0,113.0
revistaB_constante_9.txt,saida_revistaB_constante_9.txt,20,0.1,2000,1000,0.1,52.955555555555556,61.760722398757935,35.04819257064672,0.0,116.0
revistaB_sazonal_14_5_10.txt,saida_revistaB_sazonal_14_5_10.txt,20,0.1,2000,1000,0.1,45.333333333333336,69.85980725288391,44.28142324321164,0.0,150.0
revistaB_sazonal_5_6_7.txt,saida_revistaB_sazonal_5_6_7.txt,20,0.1,2000,1000,0.1,6.7555555555555555,140.92722606658936,4.30583870036724,0.0,196.0
revistaB_sazonal_5_8_11.txt,saida_revistaB_sazonal_5_8_11.txt,20,0.1,2000,1000,0.1,60.2,70.90549921989441,33.744530420993165,0.0,117.0
revistaB_sazonal_6_10_5.txt,saida_revistaB_sazonal_6_10_5.txt,20,0.1,2000,1000,0.1,27.08888888888889,103.77203035354614,21.386207624149026,0.0,162.0
