gen	Best_Fitness	Mean_Fitness	Mean_Fitness_Elite
0	2.0133	1.7868	2.0112
1	2.0133	1.8812	2.0116
2	2.0133	1.9082	2.0119
3	2.0133	1.9170	2.0123
4	2.0138	1.9091	2.0125
5	2.0139	1.8993	2.0128
6	2.0139	1.8772	2.0130
7	2.0140	1.8800	2.0131
8	2.0141	1.8584	2.0132
9	2.0141	1.8338	2.0133
10	2.0141	1.8209	2.0134
11	2.0141	1.8218	2.0135
12	2.0141	1.8461	2.0136
13	2.0142	1.8437	2.0137
14	2.0142	1.8182	2.0138
15	2.0142	1.8125	2.0138
16	2.0144	1.8014	2.0139
17	2.0144	1.7958	2.0140
18	2.0144	1.7829	2.0141
19	2.0144	1.8027	2.0142
20	2.0145	1.7964	2.0142
21	2.0147	1.8009	2.0143
22	2.0147	1.7551	2.0143
23	2.0147	1.7511	2.0144
24	2.0148	1.7966	2.0144
25	2.0148	1.7713	2.0144
26	2.0148	1.7687	2.0145
27	2.0148	1.8008	2.0145
28	2.0148	1.7700	2.0145
29	2.0148	1.7809	2.0145
30	2.0148	1.7867	2.0146
31	2.0148	1.7884	2.0146
32	2.0148	1.7855	2.0146
33	2.0148	1.8162	2.0147
34	2.0148	1.7791	2.0147
35	2.0148	1.7851	2.0147
36	2.0148	1.7878	2.0147
37	2.0148	1.7772	2.0147
38	2.0148	1.7916	2.0147
39	2.0148	1.7519	2.0147
40	2.0148	1.4077	2.0147
41	2.0148	1.6503	2.0147
42	2.0148	1.7626	2.0147
43	2.0148	1.8030	2.0148
44	2.0148	1.8120	2.0148
45	2.0148	1.7858	2.0148
46	2.0148	1.7606	2.0148
47	2.0148	1.7685	2.0148
48	2.0148	1.7519	2.0148
49	2.0148	1.7462	2.0148
50	2.0148	1.7534	2.0148
51	2.0148	1.7223	2.0148
52	2.0148	1.7411	2.0148
53	2.0148	1.7444	2.0148
54	2.0148	1.7365	2.0148
55	2.0148	1.3805	2.0148
56	2.0148	1.5866	2.0148
57	2.0148	1.6943	2.0148
58	2.0148	1.6973	2.0148
59	2.0148	1.6741	2.0148
60	2.0148	1.7282	2.0148
61	2.0148	1.7668	2.0148
62	2.0148	1.7694	2.0148
63	2.0148	1.7639	2.0148
64	2.0148	1.7362	2.0148
65	2.0148	1.3032	2.0110
66	2.0148	1.6340	2.0114
67	2.0148	1.7843	2.0119
68	2.0148	1.8478	2.0123
69	2.0148	1.8982	2.0127
70	2.0148	1.8840	2.0130
71	2.0148	1.8744	2.0134
72	2.0148	1.8323	2.0136
73	2.0148	1.8153	2.0138
74	2.0148	1.8121	2.0140
75	2.0148	1.7658	2.0141
